slot,average_delay,average_energy,total_delay,total_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
87,122.534738,0.038239,1960.555803,0.611824,0.362451,4.70635,10,10,1,1,0
88,167.295906,0.020145,2509.438587,0.302181,0.263684,3.421146,8,8,1,1,0
89,262.47874,0.027218,4462.138586,0.462704,0.297875,4.095914,9,9,1,1,0
90,256.437637,0.027529,4615.877462,0.495528,0.412084,4.986409,8,8,1,1,0
91,126.739623,0.036412,1901.094342,0.546184,0.379491,5.51126,10,10,1,1,0
92,167.307032,0.024173,3178.833612,0.459295,0.491157,4.474533,9,9,1,1,0
93,235.507412,0.035758,4003.626001,0.607886,0.48498,3.967966,10,10,1,1,0
94,229.082047,0.019168,3436.230704,0.287513,0.356012,3.563066,9,9,1,1,0
95,153.172356,0.024167,2910.27477,0.459171,0.561326,6.222006,8,8,1,1,0
96,151.723732,0.034384,2275.855985,0.515759,0.421548,3.808023,9,9,1,1,0
97,125.312046,0.018669,1629.056604,0.242697,0.33266,3.670177,8,8,1,1,0
98,138.36135,0.032867,2628.865653,0.624473,0.610056,5.782489,9,9,1,1,0
99,175.667531,0.007949,2986.348032,0.135126,0.272717,4.044323,6,6,1,1,0
100,132.125752,0.027792,2114.012034,0.444679,0.34412,4.795912,8,8,1,1,0
101,185.564406,0.015566,2783.466096,0.233495,0.242956,3.337816,7,6,1,1,0
102,169.591114,0.035972,3052.640044,0.647489,0.337364,4.493291,10,10,1,1,0
103,160.405625,0.037988,2566.490007,0.607811,0.354811,3.996825,10,10,1,1,0
104,208.786126,0.034075,2714.219639,0.442975,0.247166,2.733857,9,9,1,1,0
105,162.066432,0.02979,2755.129341,0.506437,0.338469,4.665784,9,9,1,1,0
106,188.475576,0.033565,3392.560363,0.604167,0.383236,4.645926,9,9,1,1,0
107,275.491435,0.027869,4132.371526,0.418032,0.387529,3.566115,9,9,1,1,0
108,167.036161,0.037539,2338.50626,0.525545,0.374733,3.97546,10,10,1,1,0
109,237.828143,0.033281,4518.734724,0.632344,0.438522,4.250015,9,9,1,1,0
110,238.583328,0.027897,4533.08324,0.53004,0.483748,5.180544,9,9,1,1,0
111,115.085042,0.034006,1726.27563,0.51009,0.492893,4.418914,9,9,1,1,0
112,152.34764,0.03652,2285.214607,0.547804,0.365738,3.003032,10,10,1,1,0
113,165.096251,0.016223,2806.636265,0.275796,0.380241,3.852787,8,8,1,1,0
114,274.685678,0.030237,4944.342208,0.544258,0.388769,3.939051,8,8,1,1,0
115,137.747134,0.036333,2341.701275,0.617663,0.522198,5.944805,10,10,1,1,0
116,162.310403,0.02891,2921.587262,0.520379,0.46046,4.419065,9,9,1,1,0
117,132.210155,0.037607,2247.572638,0.639324,0.581131,5.336408,10,10,1,1,0
118,209.357006,0.025108,4187.140126,0.502168,0.419683,4.395899,9,9,1,1,0
119,114.323806,0.016805,1600.533286,0.235277,0.310213,3.941819,8,8,1,1,0
