slot,average_delay,average_energy,total_delay,total_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
1,122.859706,0.002698,1720.035878,0.037771,0.4075,1.332276,5,5,1,1,0
2,172.851844,0.036411,2938.481355,0.618992,0.546474,6.514956,10,10,1,1,0
3,181.570496,0.01505,3086.698438,0.255856,0.660597,4.587847,8,8,1,1,0
4,128.636516,0.022364,2186.820778,0.380183,0.616971,5.466066,8,8,1,1,0
5,189.049883,0.023219,3024.798129,0.371505,0.448596,4.657281,8,8,1,1,0
6,193.557662,0.036407,3290.480255,0.618918,0.394722,3.142543,8,7,1,1,0
7,207.116556,0.036055,3728.09801,0.64899,0.510807,4.838216,10,10,1,1,0
8,284.319274,0.020926,5117.746927,0.376676,0.442682,4.735122,8,8,1,1,0
9,168.57256,0.022917,2865.733521,0.389583,0.477278,4.940212,9,9,1,1,0
10,163.394342,0.038077,2614.309468,0.609234,0.411531,4.565759,10,10,1,1,0
11,371.071088,0.037757,5937.1374,0.604106,0.423144,3.643451,10,10,1,1,0
12,147.875484,0.035576,2218.132255,0.533638,0.43615,4.646411,9,9,1,1,0
13,184.875909,0.017575,3327.766354,0.316347,0.38927,4.608109,8,8,1,1,0
14,240.409183,0.035407,3846.546921,0.566507,0.389155,2.987107,9,9,1,1,0
15,114.378256,0.032392,1830.052103,0.518276,0.552155,4.965645,9,9,1,1,0
16,120.328359,0.034533,1684.597025,0.483458,0.378423,4.345465,9,9,1,1,0
17,140.507976,0.02096,1967.11167,0.293438,0.37211,3.522301,8,8,1,1,0
18,163.406266,0.026178,2451.093991,0.392668,0.337642,3.51483,9,8,1,1,0
19,159.274335,0.020527,2548.389357,0.328426,0.300525,4.192794,8,8,1,1,0
20,124.714648,0.015121,1496.575779,0.181452,0.217209,3.435148,8,8,1,1,0
21,285.971803,0.038229,5147.492458,0.68813,0.311504,4.211807,9,8,1,1,0
22,181.170096,0.035751,2717.551441,0.53626,0.338516,3.787364,10,10,1,1,0
23,121.012256,0.022458,1936.196099,0.359324,0.423567,5.039172,7,7,1,1,0
24,197.47193,0.021431,3357.022803,0.364326,0.357453,4.618036,7,7,1,1,0
25,120.285074,0.024675,1804.276117,0.370128,0.487503,5.684823,8,8,1,1,0
26,153.4614,0.036538,2301.921,0.548074,0.33049,3.559009,10,8,1,1,0
27,133.222909,0.026015,1865.12072,0.364203,0.44473,4.041073,8,8,1,1,0
28,193.768666,0.020955,3100.298652,0.335273,0.297094,3.869331,9,9,1,1,0
29,116.675209,0.026517,2100.153764,0.477305,0.425683,5.42687,9,9,1,1,0
30,161.400874,0.028058,2743.814861,0.476991,0.382999,5.017909,8,8,1,1,0
31,156.878449,0.01065,2196.298286,0.149101,0.326211,3.724426,7,7,1,1,0
32,128.968017,0.026497,2192.456297,0.450451,0.466893,5.091204,8,8,1,1,0
33,353.07068,0.031716,5649.130882,0.507452,0.284454,3.741943,9,9,1,1,0
34,163.91837,0.029829,2130.938816,0.387778,0.252212,3.466584,8,8,1,1,0
35,141.910666,0.025235,2270.570657,0.403756,0.433044,5.173305,9,9,1,1,0
36,202.668378,0.029755,3850.699189,0.565339,0.396093,4.654172,9,9,1,1,0
37,275.489271,0.024594,4132.33906,0.368905,0.266152,3.599148,8,8,1,1,0
38,147.640637,0.026718,2214.60955,0.400768,0.336947,4.785697,9,9,1,1,0
39,129.298024,0.017011,2198.066408,0.289183,0.466472,5.11492,7,7,1,1,0
40,289.20282,0.035885,4048.839478,0.502394,0.215354,2.881005,8,7,1,1,0
41,128.036856,0.03596,2304.663402,0.647279,0.513866,5.920307,10,10,1,1,0
42,128.811965,0.023955,2060.991444,0.383282,0.467251,4.883195,7,7,1,1,0
43,114.141731,0.013115,1940.409434,0.222948,0.462007,4.531769,7,7,1,1,0
44,229.802339,0.018158,3676.837429,0.290532,0.305286,4.052484,7,7,1,1,0
45,316.56254,0.029013,5381.563182,0.493227,0.336683,4.103888,9,8,1,1,0
46,177.244315,0.025974,3190.397661,0.467538,0.445076,5.313248,9,9,1,1,0
47,132.615557,0.027128,1724.002241,0.35267,0.337642,3.972662,9,9,1,1,0
48,163.31932,0.028098,2776.428446,0.477669,0.406893,3.735223,8,7,1,1,0
