method,seed_index,slot,average_delay,cumulative_average_delay,average_fidelity,solver_time,throughput,sync_triggers
proposed,0,27,169.913961,162.086242,0.672045,9.7e-05,14.0,8.0
proposed,0,28,125.417441,160.776642,0.677641,0.000122,16.0,9.0
proposed,0,29,117.701753,159.291301,0.675346,0.000138,18.0,8.0
proposed,0,30,174.117845,159.785519,0.717819,0.000129,17.0,7.0
proposed,0,31,112.05029,158.245673,0.649108,8.9e-05,14.0,6.0
proposed,0,32,180.221524,158.932418,0.690905,0.000116,17.0,7.0
proposed,0,33,223.880137,160.900531,0.701942,0.000118,16.0,9.0
proposed,0,34,128.482434,159.947057,0.631682,9.5e-05,13.0,10.0
proposed,0,35,139.448063,159.361372,0.709367,0.00013,16.0,8.0
proposed,0,36,151.214217,159.135062,0.692347,0.000146,19.0,9.0
proposed,0,37,118.613563,158.039886,0.684062,7.9e-05,15.0,7.0
proposed,0,38,114.981504,156.906771,0.676972,0.000103,15.0,7.0
proposed,0,39,265.736094,159.697266,0.683839,0.00013,17.0,6.0
proposed,0,40,136.604828,159.119955,0.664883,8.2e-05,14.0,9.0
proposed,1,1,108.195212,108.195212,0.683178,0.000149,13.0,4.0
proposed,1,2,297.475424,202.835318,0.651866,0.000123,13.0,10.0
proposed,1,3,221.557321,209.075986,0.672923,0.000486,18.0,6.0
proposed,1,4,192.902092,205.032512,0.670805,0.000382,16.0,10.0
proposed,1,5,123.828891,188.791788,0.70943,0.00016,15.0,7.0
proposed,1,6,265.80687,201.627635,0.701848,0.000235,18.0,7.0
proposed,1,7,160.881972,195.806826,0.661725,0.00014,15.0,7.0
proposed,1,8,198.218988,196.108346,0.714384,7.1e-05,13.0,7.0
proposed,1,9,168.854919,193.080188,0.693597,0.000166,16.0,8.0
proposed,1,10,187.929356,192.565105,0.705012,0.000159,14.0,8.0
proposed,1,11,203.198119,193.531742,0.72467,0.000164,16.0,8.0
proposed,1,12,554.131355,223.58171,0.699943,0.000306,16.0,7.0
proposed,1,13,185.229993,220.631578,0.693982,0.000194,18.0,8.0
proposed,1,14,228.773067,221.213113,0.732522,0.000196,17.0,8.0
proposed,1,15,142.773779,215.983824,0.688519,0.000105,15.0,8.0
proposed,1,16,147.78621,211.721473,0.678443,7.3e-05,13.0,6.0
proposed,1,17,131.831025,207.022035,0.707859,7.2e-05,13.0,6.0
proposed,1,18,170.84313,205.012096,0.704463,0.000187,18.0,7.0
proposed,1,19,121.866014,200.635986,0.721878,9.7e-05,15.0,8.0
proposed,1,20,146.944227,197.951398,0.721644,0.000166,17.0,8.0
proposed,1,21,162.598244,196.267915,0.721575,0.000104,15.0,6.0
proposed,1,22,197.540138,196.325743,0.70953,0.000257,19.0,8.0
