slot,average_delay,average_energy,total_delay,total_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
454,125.755961,0.025848,2012.09538,0.413572,0.223153,4.005272,7,7,1,1,0
455,79.208517,0.034937,1267.33627,0.558997,0.305552,4.791165,8,8,1,1,0
456,97.584564,0.020005,1854.106723,0.380098,0.343312,4.150763,8,7,1,1,0
457,81.258342,0.03198,1462.650151,0.575649,0.312919,5.105769,9,9,1,1,0
458,75.14565,0.017544,1202.330408,0.28071,0.309468,4.052765,7,7,1,1,0
459,58.111897,0.021829,987.902243,0.371094,0.336015,3.758051,6,5,1,1,0
460,69.227161,0.017125,1246.088899,0.308245,0.372503,5.248096,6,6,1,1,0
461,80.476467,0.033574,1207.147008,0.503603,0.192005,3.323123,8,8,1,1,0
462,63.168122,0.027817,1010.689949,0.445076,0.300097,3.980988,8,8,1,1,0
463,81.130372,0.026723,1135.825213,0.374115,0.220672,4.122461,8,8,1,1,0
464,118.775497,0.028255,2019.183451,0.480334,0.213044,3.804257,8,7,1,1,0
465,92.125483,0.025918,1658.258703,0.466516,0.325193,4.051762,7,6,1,1,0
466,76.996,0.039336,1231.935999,0.629369,0.267792,3.844548,9,9,1,1,0
467,92.822511,0.026822,1577.982682,0.455979,0.326933,3.476167,7,7,1,1,0
468,84.171837,0.015019,1346.749395,0.240305,0.298175,3.807492,7,7,1,1,0
469,101.620912,0.035447,1829.176414,0.63805,0.25728,4.257942,9,9,1,1,0
470,92.118085,0.034118,1566.007451,0.580007,0.368401,4.129289,8,8,1,1,0
471,76.910908,0.026952,1153.663619,0.404284,0.29008,3.768969,8,8,1,1,0
472,119.002842,0.022013,1666.039786,0.308187,0.265175,2.939138,9,9,1,1,0
473,71.439535,0.032723,1143.032559,0.523575,0.323492,4.884318,8,8,1,1,0
474,73.588629,0.026363,1324.595321,0.474541,0.345918,5.156274,7,7,1,1,0
475,83.135158,0.018142,1496.432842,0.326558,0.409298,5.316572,6,6,1,1,0
476,85.404021,0.030886,1537.272385,0.555942,0.376484,4.395741,8,6,1,1,0
477,69.555237,0.027108,973.773313,0.379517,0.192712,2.72287,8,7,1,1,0
478,80.931736,0.022421,1375.839509,0.381163,0.277349,4.386868,7,7,1,1,0
479,87.095469,0.013774,1480.622976,0.234162,0.324806,4.424248,6,6,1,1,0
480,78.355523,0.029499,1175.332849,0.442485,0.28013,3.251197,8,6,1,1,0
481,92.074585,0.01829,1565.267949,0.310922,0.263268,3.899702,7,7,1,1,0
482,85.052286,0.032779,1360.836583,0.524465,0.252544,4.179729,8,8,1,1,0
483,93.950093,0.04148,1597.151575,0.705153,0.314427,3.454135,10,9,1,1,0
484,199.350636,0.02689,3189.610173,0.430247,0.282402,3.268184,7,7,1,1,0
485,104.192979,0.037997,1667.087663,0.607958,0.252274,3.718421,10,10,1,1,0
486,72.021725,0.032936,1224.369318,0.559911,0.363301,5.408463,9,9,1,1,0
487,84.158476,0.030726,1430.694087,0.522336,0.32779,4.031009,9,9,1,1,0
488,93.227142,0.026562,1678.088552,0.478114,0.334031,3.855009,8,8,1,1,0
489,137.429505,0.027291,2473.731082,0.491238,0.323844,4.109384,7,7,1,1,0
490,97.264355,0.018077,1556.229682,0.289226,0.279864,3.985997,8,8,1,1,0
491,105.853844,0.039561,1693.6615,0.632976,0.265037,3.026222,9,8,1,1,0
492,89.676561,0.022726,1345.148417,0.340893,0.250846,4.339196,8,8,1,1,0
493,86.763079,0.038283,1388.209259,0.612526,0.371446,3.593983,8,8,1,1,0
494,65.301397,0.032334,848.918156,0.420342,0.25282,3.241894,9,8,1,1,0
495,63.924344,0.02627,958.865156,0.39405,0.353761,4.410896,8,8,1,1,0
496,67.579442,0.025641,946.112187,0.35897,0.336143,3.130052,8,7,1,1,0
497,77.863869,0.010693,1090.09416,0.149707,0.268062,3.336541,6,6,1,1,0
498,110.440266,0.017926,1877.484522,0.304747,0.281825,4.638161,6,6,1,1,0
499,102.896281,0.031506,1852.133066,0.567117,0.363407,4.374219,8,6,1,1,0
500,87.118306,0.041514,1306.774586,0.62271,0.245399,3.83163,10,10,1,1,0
