slot,average_delay,average_energy,total_delay,total_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
1,432.777492,0.008332,5626.107395,0.108317,0.383528,1.237114,4,4,1,1,0
2,471.99085,0.040759,6135.88105,0.529871,0.392196,4.101185,10,10,1,1,0
3,819.507198,0.009292,14751.129563,0.167259,0.392935,3.677516,6,6,1,1,0
4,444.526187,0.026685,7112.418989,0.426963,0.48133,5.258024,8,8,1,1,0
5,460.995749,0.026241,6914.93624,0.393612,0.477623,4.469502,7,7,1,1,0
6,763.087517,0.023964,13735.575309,0.431356,0.370938,3.907954,7,7,1,1,0
7,821.2608,0.024066,12318.912007,0.360992,0.229106,3.459623,8,8,1,1,0
8,483.308953,0.021457,6283.016389,0.278939,0.232786,4.041851,8,8,1,1,0
9,602.392515,0.022645,9638.280242,0.362327,0.333362,3.810208,7,6,1,1,0
10,526.617594,0.013443,7372.646323,0.188207,0.275699,4.008224,5,5,1,1,0
11,599.653494,0.023563,9594.45591,0.377002,0.261258,4.032973,7,7,1,1,0
12,913.711383,0.028367,14619.382123,0.453866,0.331829,3.192994,7,6,1,1,0
13,499.355202,0.031125,8988.393633,0.560255,0.392971,5.635985,8,8,1,1,0
14,1062.499312,0.020781,18062.488307,0.353278,0.281054,4.291479,7,7,1,1,0
15,645.771566,0.035205,9686.573489,0.52808,0.292102,4.311056,8,8,1,1,0
16,610.253911,0.027799,7933.300839,0.361388,0.26172,2.707652,9,8,1,1,0
17,632.920919,0.019756,8227.971945,0.256822,0.248727,2.917496,8,8,1,1,0
18,536.966563,0.032013,9665.398132,0.576232,0.3693,4.579129,9,9,1,1,0
19,566.050793,0.029288,8490.761901,0.439315,0.305585,3.256901,9,9,1,1,0
20,801.311379,0.023927,13622.293437,0.406762,0.301868,3.96894,8,8,1,1,0
21,516.49025,0.034202,7747.353751,0.513031,0.3076,4.251502,8,8,1,1,0
22,760.802887,0.025263,14455.25485,0.479996,0.358781,4.884365,7,7,1,1,0
23,596.241562,0.030207,10136.106555,0.51352,0.321781,4.521528,8,8,1,1,0
24,616.526468,0.031437,11097.476416,0.565861,0.377178,4.508223,7,7,1,1,0
25,587.591001,0.0378,9401.456017,0.604802,0.381264,4.551292,9,9,1,1,0
26,664.160943,0.03421,9962.414143,0.513153,0.31173,3.368243,9,8,1,1,0
27,638.568823,0.0318,10855.669987,0.540596,0.359913,4.105164,9,9,1,1,0
28,1394.679893,0.007554,23709.558181,0.128424,0.268424,3.746318,5,5,1,1,0
29,453.330332,0.0299,6799.954976,0.448507,0.303707,5.167429,8,8,1,1,0
30,907.257049,0.010289,15423.369837,0.174906,0.262494,4.45409,6,6,1,1,0
31,1016.826792,0.039117,16269.228671,0.625869,0.234291,3.289343,10,9,1,1,0
32,794.859587,0.035539,11128.034221,0.49755,0.408764,3.058082,9,9,1,1,0
