slot,average_delay,average_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
1,254.134624,0.0,0.624074,3.779286,6,6,1,1,0
2,800.708957,0.0,0.855961,5.522531,10,10,1,1,14
3,337.817251,0.0,0.679671,4.966718,9,9,1,1,2
4,771.613048,0.0,0.387604,3.20372,10,10,1,1,14
5,515.54877,0.0,0.568013,5.126496,10,10,1,1,7
6,887.780052,0.0,0.315109,3.000725,10,10,1,1,16
7,401.91687,0.0,0.591213,6.331374,9,9,1,1,2
8,829.583409,0.0,0.564155,4.486266,9,9,1,1,10
9,466.780304,0.0,0.490806,6.042164,9,9,1,1,4
10,604.830886,0.0,0.536604,4.197445,10,9,1,1,8
11,461.163625,0.0,0.410792,5.351498,9,9,1,1,4
12,623.056738,0.0,0.531069,4.427731,9,9,1,1,10
13,330.446723,0.0,0.349109,5.091147,9,9,1,1,2
14,795.103814,0.0,0.36957,4.489308,10,10,1,1,11
15,359.97099,0.0,0.492643,5.577415,10,10,1,1,2
16,743.016665,0.0,0.441814,3.867549,9,9,1,1,12
17,354.007629,0.0,0.428806,5.150518,10,10,1,1,3
18,519.638542,0.0,0.874015,5.72971,10,10,1,1,4
19,395.253462,0.0,0.405888,5.593685,10,10,1,1,6
20,618.142119,0.0,0.550524,5.504513,10,10,1,1,6
21,665.165299,0.0,0.417803,4.523792,10,10,1,1,8
22,549.780677,0.0,0.483925,5.591637,10,10,1,1,6
23,659.166304,0.0,0.307876,4.001836,10,10,1,1,8
24,463.423485,0.0,0.595724,5.971078,10,10,1,1,6
25,451.040724,0.0,0.379755,4.932492,10,10,1,1,3
26,460.108113,0.0,0.608816,5.854955,10,10,1,1,4
27,652.99743,0.0,0.38827,4.527461,10,10,1,1,9
28,628.186262,0.0,0.520007,4.785131,10,10,1,1,8
29,572.995846,0.0,0.364719,4.278313,10,10,1,1,9
30,631.797351,0.0,0.610282,5.383289,10,10,1,1,8
31,517.687248,0.0,0.473683,4.914669,10,10,1,1,4
32,643.003494,0.0,0.551217,4.642375,10,10,1,1,9
33,614.088382,0.0,0.36586,4.607941,10,10,1,1,7
34,484.755824,0.0,0.4602,5.304889,10,10,1,1,6
35,648.912813,0.0,0.273981,4.259679,10,10,1,1,10
36,467.410688,0.0,0.577152,5.605583,10,10,1,1,5
37,495.750049,0.0,0.545243,6.123954,10,10,1,1,5
38,503.879595,0.0,0.462059,5.019605,10,10,1,1,6
39,415.307387,0.0,0.593418,5.582606,10,10,1,1,3
40,613.113035,0.0,0.540153,4.859141,10,10,1,1,8
