slot,average_delay,average_energy,total_delay,total_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
426,289.673826,0.066539,5214.128876,1.197706,0.47518,4.638094,6,6,1,1,0
427,207.713174,0.016325,3738.837139,0.293845,0.361413,4.829457,6,6,1,1,0
428,150.168322,0.024303,2102.356514,0.340244,0.276291,4.784899,8,8,1,1,0
429,177.583731,0.037196,2841.339701,0.595135,0.364412,3.297559,10,8,1,1,0
430,137.294655,0.027842,2059.419819,0.417627,0.34235,3.673732,9,9,1,1,0
431,167.950211,0.032036,2687.203377,0.512572,0.337066,4.528018,8,8,1,1,0
432,241.783814,0.0613,3868.541028,0.980802,0.279087,4.631283,9,9,1,1,0
433,155.222277,0.034433,2483.556428,0.55093,0.366892,4.60554,9,9,1,1,0
434,197.179555,0.017499,3154.872877,0.279985,0.268646,3.905392,7,7,1,1,0
435,145.407348,0.02057,2326.517567,0.329128,0.402153,4.21193,8,8,1,1,0
436,162.044227,0.018916,2916.796091,0.340497,0.42839,4.74576,8,8,1,1,0
437,160.286305,0.01511,2404.294569,0.226655,0.282681,3.875524,7,7,1,1,0
438,201.141815,0.031234,3821.69448,0.593452,0.431016,5.202394,8,7,1,1,0
439,164.027815,0.035901,2788.472849,0.610318,0.368839,5.146815,10,10,1,1,0
440,126.978895,0.026435,1777.704527,0.370088,0.222883,3.553495,8,8,1,1,0
441,156.856243,0.008355,2352.843652,0.125331,0.351574,4.295244,5,5,1,1,0
442,154.342164,0.036169,2469.47463,0.5787,0.316949,4.174179,10,10,1,1,0
443,177.161252,0.008333,3188.902544,0.150001,0.412866,4.401736,6,6,1,1,0
444,171.055415,0.013421,2736.886637,0.21474,0.390473,4.516662,7,7,1,1,0
445,152.973171,0.016109,2600.543905,0.273851,0.376276,5.59624,7,7,1,1,0
446,163.946832,0.032165,2787.096136,0.5468,0.282556,3.352285,9,6,1,1,0
447,155.59496,0.01776,2645.114315,0.301915,0.321281,4.343911,7,7,1,1,0
448,141.466392,0.018767,2121.995882,0.281508,0.343102,4.107636,7,7,1,1,0
449,155.290567,0.0156,2484.649068,0.249598,0.302645,5.169563,7,7,1,1,0
450,133.625676,0.034061,2538.887839,0.647165,0.303679,4.377667,9,7,1,1,0
451,225.753145,0.007922,3837.803462,0.13467,0.271627,4.343439,7,7,1,1,0
452,182.887515,0.036011,2560.425209,0.504149,0.197626,3.38421,10,9,1,1,0
453,158.651418,0.025233,2379.771277,0.378488,0.33757,4.179795,9,9,1,1,0
454,230.226311,0.025892,3223.168353,0.362481,0.210083,3.199826,8,8,1,1,0
455,278.26935,0.078475,4174.040254,1.177129,0.329049,3.859917,10,10,1,1,0
