slot,average_delay,average_energy,total_delay,total_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
1,122.859706,0.002698,1720.035878,0.037771,0.4075,1.332276,5,5,1,1,0
2,172.851844,0.036411,2938.481355,0.618992,0.546474,6.514956,10,10,1,1,0
3,181.570496,0.01505,3086.698438,0.255856,0.660597,4.587847,8,8,1,1,0
4,128.636516,0.022364,2186.820778,0.380183,0.616971,5.466066,8,8,1,1,0
5,189.049883,0.023219,3024.798129,0.371505,0.448596,4.657281,8,8,1,1,0
6,193.557662,0.036407,3290.480255,0.618918,0.394722,3.142543,8,7,1,1,0
7,207.116556,0.036055,3728.09801,0.64899,0.510807,4.838216,10,10,1,1,0
8,284.319274,0.020926,5117.746927,0.376676,0.442682,4.735122,8,8,1,1,0
9,168.57256,0.022917,2865.733521,0.389583,0.477278,4.940212,9,9,1,1,0
10,163.394342,0.038077,2614.309468,0.609234,0.411531,4.565759,10,10,1,1,0
11,371.071088,0.037757,5937.1374,0.604106,0.423144,3.643451,10,10,1,1,0
12,147.875484,0.035576,2218.132255,0.533638,0.43615,4.646411,9,9,1,1,0
13,197.968362,0.015096,3563.43051,0.271724,0.353955,4.410596,8,8,1,1,0
14,317.081531,0.03643,5073.304493,0.582882,0.421215,3.526914,10,10,1,1,0
15,114.280803,0.032727,1828.492845,0.523629,0.554832,5.065388,9,9,1,1,0
16,271.485731,0.007156,3800.800234,0.100183,0.248114,3.233573,7,7,1,1,0
17,176.67331,0.013835,2473.426346,0.193696,0.359307,4.918717,8,8,1,1,0
18,215.201725,0.042089,3228.025873,0.631336,0.385834,3.550628,10,9,1,1,0
19,116.656659,0.037584,1866.506549,0.601342,0.384194,5.076472,10,10,1,1,0
20,127.870044,0.024655,1534.440531,0.295861,0.246315,3.11709,9,9,1,1,0
21,249.313992,0.034363,4487.651854,0.61854,0.425621,4.564278,9,9,1,1,0
22,234.125268,0.025873,3511.879021,0.388098,0.35768,3.934998,8,8,1,1,0
23,130.582147,0.033259,2089.314352,0.532142,0.415397,5.241693,9,9,1,1,0
24,135.744998,0.036392,2307.664974,0.618662,0.433498,4.045436,10,10,1,1,0
25,321.128806,0.019541,4816.932095,0.293112,0.367536,3.220079,8,8,1,1,0
26,128.993951,0.035353,1934.909269,0.530294,0.407109,5.029348,9,9,1,1,0
27,184.054641,0.027118,2576.764975,0.379653,0.338672,3.201296,8,8,1,1,0
28,153.781461,0.036877,2460.503373,0.590039,0.361257,3.874452,10,9,1,1,0
29,116.663257,0.023874,2099.938627,0.429737,0.423627,5.407272,8,8,1,1,0
30,192.116632,0.018132,3265.982748,0.308247,0.327557,4.665877,7,7,1,1,0
31,211.23776,0.031092,2957.328635,0.435294,0.277316,3.667038,8,8,1,1,0
32,231.676587,0.035266,3938.501972,0.59952,0.378309,4.689984,10,10,1,1,0
33,149.952116,0.022913,2399.233849,0.3666,0.34333,4.93719,8,8,1,1,0
34,122.531781,0.036706,1592.913158,0.477182,0.294521,3.713332,10,10,1,1,0
35,138.484853,0.015893,2215.757655,0.254285,0.428852,4.392755,8,8,1,1,0
36,253.778237,0.017191,4821.786495,0.326636,0.400665,5.204047,7,7,1,1,0
37,205.124511,0.034077,3076.867671,0.511152,0.268552,3.960324,9,9,1,1,0
38,183.140647,0.012775,2747.109709,0.191625,0.321828,3.483196,8,8,1,1,0
39,126.982467,0.026096,2158.701934,0.443636,0.431169,4.750101,8,8,1,1,0
40,136.678839,0.025334,1913.503752,0.35467,0.28745,4.274823,8,8,1,1,0
41,333.040636,0.038365,5994.731443,0.690561,0.292333,3.365086,8,7,1,1,0
42,128.858159,0.034865,2061.730547,0.557833,0.470641,5.323118,9,9,1,1,0
43,121.865127,0.021209,2071.707161,0.360555,0.460707,4.319426,8,8,1,1,0
44,128.01899,0.027096,2048.303848,0.433535,0.409774,4.738896,8,8,1,1,0
45,125.446891,0.023611,2132.597149,0.401384,0.46395,4.878974,8,8,1,1,0
46,177.659812,0.00963,3197.876617,0.173341,0.451057,4.582094,6,6,1,1,0
47,143.088033,0.03098,1860.144431,0.40274,0.32138,3.381568,9,9,1,1,0
48,191.675665,0.025127,3258.486304,0.427162,0.368389,3.896525,7,7,1,1,0
