slot,average_delay,average_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
1,549.999984,0.0,1.311508,8.764866,6,6,1,1,11
2,1180.03166,0.0,0.220815,1.842581,10,10,1,1,37
3,534.594862,0.0,1.007345,6.718726,10,10,1,1,17
4,1261.382622,0.0,0.323371,2.210679,10,10,1,1,34
5,538.217967,0.0,1.017025,8.951714,10,10,1,1,8
6,904.525131,0.0,0.384047,2.958442,10,10,1,1,28
7,569.359146,0.0,0.718225,7.08455,10,10,1,1,12
8,1132.531727,0.0,0.274435,2.498477,10,10,1,1,30
9,491.486136,0.0,0.772665,8.071301,9,9,1,1,11
10,1077.232416,0.0,0.249116,2.209412,9,9,1,1,32
11,475.985693,0.0,0.805346,9.382885,9,9,1,1,10
12,1082.022332,0.0,0.324514,2.811941,10,9,1,1,31
13,702.017242,0.0,0.573409,6.774813,10,10,1,1,14
14,1024.040104,0.0,0.375325,3.29421,10,10,1,1,32
15,556.797896,0.0,0.674796,8.086343,10,10,1,1,10
16,994.084796,0.0,0.428702,3.757636,10,10,1,1,29
17,570.876654,0.0,0.729573,6.930682,10,10,1,1,15
18,1028.902223,0.0,0.557873,3.893985,10,10,1,1,31
19,683.412521,0.0,0.593146,5.717032,10,10,1,1,16
20,963.654322,0.0,0.402096,3.510191,10,10,1,1,28
21,589.152981,0.0,0.665528,7.421721,10,10,1,1,16
22,1028.093239,0.0,0.413609,4.111796,10,10,1,1,28
23,646.333526,0.0,0.677809,6.584191,10,10,1,1,14
24,940.032722,0.0,0.542829,4.727659,9,9,1,1,28
25,725.122908,0.0,0.741144,7.324542,9,9,1,1,17
26,966.512367,0.0,0.403055,4.026798,9,9,1,1,24
27,750.043976,0.0,0.535596,6.659134,10,9,1,1,15
28,1020.727572,0.0,0.383505,4.105091,9,9,1,1,33
29,681.218517,0.0,0.593092,6.357022,9,9,1,1,18
30,888.888827,0.0,0.48603,4.318616,9,9,1,1,24
31,761.527481,0.0,0.557872,6.568782,10,9,1,1,20
32,853.79134,0.0,0.514068,4.278885,9,9,1,1,27
33,749.784638,0.0,0.64105,6.372773,9,9,1,1,17
34,964.2109,0.0,0.418745,3.983768,9,9,1,1,31
35,678.937593,0.0,0.494585,6.000231,10,9,1,1,20
36,994.83437,0.0,0.307952,2.829144,9,9,1,1,32
37,598.856788,0.0,0.659322,7.364788,9,9,1,1,17
38,977.746236,0.0,0.450331,4.50736,9,9,1,1,28
39,575.667021,0.0,0.605514,7.790103,10,9,1,1,12
40,970.609253,0.0,0.428775,4.163708,9,9,1,1,28
