slot,average_delay,average_energy,total_delay,total_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
1,471.866325,0.006129,17930.920341,0.232904,0.772122,3.616178,6,6,1,1,0
2,294.741944,0.049154,10610.70998,1.769549,1.72422,15.467788,10,10,1,1,0
3,318.55445,0.044289,12742.17802,1.771555,1.431388,8.426294,10,10,1,1,0
4,413.280144,0.042241,16944.485912,1.73188,1.621304,10.558341,10,10,1,1,0
5,357.838315,0.04824,15029.20921,2.026095,1.567413,11.177847,10,10,1,1,0
6,313.569924,0.044313,10661.377426,1.506647,1.253372,8.369356,10,10,1,1,0
7,488.974247,0.110931,19069.99565,4.326322,1.209292,10.206485,9,9,1,1,0
8,300.623047,0.029533,12626.167967,1.240387,1.476468,11.931203,7,7,1,1,0
9,320.75436,0.044553,12509.420029,1.737575,1.344639,12.321997,9,9,1,1,0
10,315.904127,0.031926,13267.973353,1.340899,1.354855,10.373648,9,8,1,1,0
11,294.097531,0.037945,12057.998763,1.55576,1.218033,11.420515,9,9,1,1,0
12,325.093211,0.028454,13653.914858,1.195069,1.210516,10.18835,7,7,1,1,0
13,357.021098,0.037542,14637.865027,1.53924,1.309026,9.841434,9,9,1,1,0
14,313.943591,0.032151,11615.912859,1.189575,1.265823,8.951578,9,9,1,1,0
15,243.957439,0.035272,8294.552923,1.199251,0.928545,8.94182,9,9,1,1,0
16,330.960954,0.032641,14562.281973,1.43622,1.189556,12.463047,8,8,1,1,0
17,317.74517,0.030017,12074.316479,1.140645,1.140381,8.818441,8,7,1,1,0
18,508.914638,0.036192,19338.756238,1.375283,0.984248,8.432749,9,9,1,1,0
19,306.866974,0.039733,13195.279864,1.70851,1.239355,12.501362,9,9,1,1,0
20,258.232287,0.034198,9038.130043,1.196924,1.097171,9.723233,7,7,1,1,0
21,330.632657,0.02583,14547.836929,1.136539,1.196151,13.128021,7,7,1,1,0
22,334.865823,0.035845,12055.169625,1.290412,0.934254,9.132327,8,7,1,1,0
23,563.287421,0.121571,21404.922006,4.619713,1.194492,9.315885,10,10,1,1,0
24,300.120871,0.032949,11104.472218,1.219112,0.86907,11.624906,8,8,1,1,0
25,250.393789,0.033055,8763.782622,1.156909,1.066985,10.981414,8,8,1,1,0
26,359.423015,0.045314,14017.497567,1.767248,1.307281,10.86229,10,10,1,1,0
27,285.781066,0.04228,10859.680526,1.606623,1.055114,10.463778,9,9,1,1,0
28,327.189602,0.023879,13741.963289,1.002935,1.248481,9.211111,7,7,1,1,0
29,289.210569,0.031202,10990.00161,1.185679,1.229039,10.208795,8,8,1,1,0
30,244.63012,0.042853,8562.054204,1.499868,1.058159,9.274667,9,9,1,1,0
31,413.989973,0.030473,17801.568842,1.310321,1.193219,10.212604,8,7,1,1,0
32,336.323577,0.035207,15134.560968,1.584314,1.455956,10.9821,8,8,1,1,0
33,355.268802,0.03083,16342.364877,1.418188,1.446943,13.894273,8,8,1,1,0
34,353.634909,0.043703,15913.570913,1.966633,1.586218,12.977308,8,8,1,1,0
35,246.837995,0.03253,8886.167813,1.171081,1.089277,10.355813,7,7,1,1,0
36,300.889317,0.028474,12336.462,1.167453,1.233735,11.985114,8,8,1,1,0
37,339.187865,0.04304,13228.326754,1.678573,1.276648,9.766873,10,10,1,1,0
38,380.138351,0.036403,16345.949101,1.565309,1.26718,10.368563,9,9,1,1,0
39,299.848209,0.032351,11694.080152,1.261684,1.150546,10.355697,7,7,1,1,0
40,672.840053,0.030435,28259.282222,1.27826,1.151922,10.088801,7,7,1,1,0
41,489.345841,0.092975,20552.525325,3.904948,1.358541,12.685051,10,9,1,1,0
42,394.447147,0.023466,15777.885883,0.938629,1.106419,10.144911,7,7,1,1,0
43,324.513393,0.045433,13629.562522,1.908202,1.351415,12.349072,10,10,1,1,0
44,513.103473,0.03369,17958.621569,1.179135,0.937418,8.311764,9,9,1,1,0
45,301.922489,0.045821,11473.054592,1.741191,1.098836,11.685097,10,10,1,1,0
46,360.484883,0.036315,14058.910433,1.41628,1.241488,10.013222,9,9,1,1,0
47,374.938021,0.024201,14622.582836,0.943839,1.103807,11.306218,7,7,1,1,0
48,310.575036,0.031606,12112.426416,1.232617,1.490448,12.063847,8,8,1,1,0
49,348.05724,0.032317,13922.289581,1.292667,1.398272,10.65958,7,6,1,1,0
50,487.921229,0.031766,20980.612836,1.365953,1.195309,11.122075,9,9,1,1,0
51,318.517268,0.046843,14014.759791,2.061109,1.447899,11.839793,10,10,1,1,0
52,313.954427,0.031921,13186.085931,1.340685,1.272074,12.049602,7,7,1,1,0
53,333.159644,0.038189,13326.385768,1.527579,1.32014,10.299251,8,8,1,1,0
54,283.735818,0.026118,10781.961082,0.992484,1.098995,10.824718,7,7,1,1,0
55,304.571248,0.041551,12487.421163,1.703582,1.247917,10.455845,9,9,1,1,0
56,375.460615,0.02053,15393.885213,0.841742,1.231219,9.98618,7,7,1,1,0
57,428.373837,0.029604,16278.205824,1.124961,1.153824,10.174985,9,9,1,1,0
58,326.738832,0.03461,12742.814436,1.349808,1.296439,13.565844,8,8,1,1,0
59,319.019691,0.042293,13717.846734,1.818608,1.173067,11.061469,8,7,1,1,0
60,468.700532,0.036609,19216.721799,1.500988,1.06257,10.020544,9,9,1,1,0
61,274.35791,0.043472,10699.958487,1.695415,1.297247,10.517813,10,10,1,1,0
62,357.837525,0.041048,14671.338507,1.68295,1.192416,10.036014,8,8,1,1,0
63,280.239433,0.033925,10929.337896,1.323059,1.286824,9.582505,8,8,1,1,0
64,289.872483,0.029993,11015.154361,1.139739,1.163581,10.65425,8,8,1,1,0
65,384.122657,0.036572,16133.151575,1.536012,1.021464,11.131514,8,8,1,1,0
66,299.695225,0.043267,12587.199429,1.817193,1.246233,12.229865,10,10,1,1,0
67,292.322844,0.025149,11692.913778,1.005971,1.154264,11.74563,7,7,1,1,0
68,469.334686,0.034465,18304.052737,1.344132,1.135508,9.573743,9,9,1,1,0
69,310.483227,0.032708,13661.261991,1.43917,1.308891,13.227095,8,8,1,1,0
70,411.176904,0.034303,17269.42996,1.44072,1.200813,10.312049,8,8,1,1,0
71,323.829938,0.030804,13600.857384,1.293768,1.153772,11.1277,7,7,1,1,0
72,315.407559,0.039663,14193.34017,1.784822,1.354363,13.987597,9,9,1,1,0
73,555.01646,0.032777,18870.559648,1.114426,0.861953,8.433507,8,8,1,1,0
74,281.141066,0.035019,11526.783723,1.435776,1.271297,12.916738,9,9,1,1,0
