slot,average_delay,average_energy,total_delay,total_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
461,257.008056,0.043716,3598.112782,0.612025,0.389537,4.801113,10,10,1,1,0
462,221.066996,0.040916,3094.937946,0.572831,0.456748,4.535942,10,10,1,1,0
463,290.135741,0.039306,4642.171853,0.628895,0.495817,5.286466,10,10,1,1,1
464,165.642523,0.040399,2153.352793,0.525192,0.459138,4.45574,10,10,1,1,0
465,193.138509,0.040438,2897.077637,0.606571,0.51925,4.777792,10,10,1,1,0
466,535.257019,0.027152,9634.626338,0.488745,0.481149,4.787934,9,9,1,1,4
467,202.747584,0.027303,2838.466173,0.382248,0.35495,4.922054,9,9,1,1,0
468,185.281845,0.029498,2779.227673,0.44247,0.402351,5.323009,9,9,1,1,0
469,199.818712,0.045221,3197.099392,0.723542,0.508399,4.853921,10,9,1,1,0
470,202.106551,0.02914,3031.598271,0.4371,0.567083,4.818063,9,9,1,1,0
471,212.384564,0.045727,3610.537587,0.777358,0.515154,6.021971,9,9,1,1,0
472,202.806764,0.045874,3244.908227,0.733984,0.540891,4.716495,10,10,1,1,0
473,225.701695,0.037035,2708.420338,0.444415,0.352877,3.96978,10,10,1,1,0
474,208.468977,0.041187,2918.56568,0.576618,0.388373,4.639574,10,10,1,1,0
475,228.088642,0.039907,3421.329626,0.598603,0.494831,5.02412,10,10,1,1,0
476,183.440926,0.02666,2384.732036,0.34658,0.381917,4.524145,9,9,1,1,0
477,200.590055,0.045339,3209.440884,0.725428,0.504076,5.554351,9,9,1,1,0
478,438.469462,0.02218,6577.041935,0.332701,0.308159,4.601344,9,9,1,1,3
479,172.395257,0.045862,2585.928861,0.687931,0.493296,4.727109,10,9,1,1,0
480,443.726579,0.039404,8430.804996,0.748671,0.475428,5.565199,10,10,1,1,3
481,371.313043,0.031987,7054.947821,0.607755,0.432921,5.042553,10,10,1,1,4
482,479.466373,0.03197,7671.461971,0.511518,0.531749,4.083085,10,10,1,1,3
483,198.155004,0.033544,2576.015054,0.436071,0.242271,4.362655,9,9,1,1,0
484,214.066543,0.032985,2996.9316,0.461794,0.394889,4.690698,9,9,1,1,0
485,325.011165,0.037017,4875.167473,0.555256,0.432928,4.69417,10,10,1,1,1
486,244.135474,0.030196,3906.167576,0.483129,0.451079,5.47568,9,9,1,1,0
487,291.785888,0.062209,5252.145984,1.119761,0.719666,6.103111,9,9,1,1,0
488,195.351409,0.04144,2734.919722,0.580159,0.389828,4.012923,10,10,1,1,0
489,323.580779,0.050653,6148.0348,0.962414,0.726564,6.94974,10,10,1,1,1
490,604.935588,0.033461,12098.711761,0.669217,0.465702,4.492601,10,10,1,1,5
491,410.434262,0.046006,7387.816713,0.828113,0.548629,5.711363,10,10,1,1,2
492,395.472648,0.042036,7118.507662,0.756652,0.450254,5.522933,10,10,1,1,2
493,497.393417,0.033767,8455.688083,0.574043,0.452224,4.787313,10,10,1,1,4
494,191.791573,0.039882,3068.665168,0.638118,0.47302,5.309876,10,10,1,1,0
495,338.510517,0.057039,5416.168269,0.912627,0.523251,5.664404,10,10,1,1,1
496,341.933826,0.038414,5470.941216,0.61463,0.463535,5.102155,10,10,1,1,1
497,444.360769,0.034986,7998.493834,0.629755,0.577362,5.481051,10,10,1,1,3
498,250.217879,0.039776,3753.268191,0.596645,0.394876,4.888901,10,10,1,1,0
499,229.353856,0.051745,3440.307846,0.776168,0.575113,5.296977,10,10,1,1,0
500,235.230752,0.047533,3763.692032,0.760524,0.614434,5.417569,10,10,1,1,0
