slot,average_delay,average_energy,total_delay,total_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
1,935.748701,0.003772,17779.225327,0.071665,0.380643,1.808089,6,6,1,1,0
2,382.037762,0.034726,3820.377622,0.347255,0.329087,4.412435,10,10,1,1,0
3,590.685904,0.033544,10632.346264,0.603797,0.500361,5.211619,9,9,1,1,0
4,555.897766,0.031662,8894.36425,0.506587,0.430191,3.422393,9,9,1,1,0
5,1252.237653,0.068332,18783.564789,1.024974,0.487053,3.872277,7,7,1,1,0
6,797.818729,0.02827,10371.643472,0.367511,0.300331,3.066925,8,8,1,1,0
7,531.888897,0.029613,7978.33346,0.444189,0.387564,4.687766,9,9,1,1,0
8,692.276053,0.033351,11076.416844,0.533618,0.388109,3.619183,9,8,1,1,0
9,813.968741,0.018212,13837.468599,0.309611,0.40376,4.412709,8,8,1,1,0
10,529.52707,0.036809,9001.960182,0.625757,0.488001,5.112002,9,9,1,1,0
11,560.54994,0.017026,8408.249105,0.255394,0.34486,4.332572,7,7,1,1,0
12,636.792118,0.035309,10188.673891,0.56494,0.444272,3.97863,9,9,1,1,0
13,737.592298,0.029344,13276.661356,0.528186,0.380661,4.594051,9,8,1,1,0
14,804.749555,0.023388,13680.742442,0.397603,0.404731,3.949881,9,9,1,1,0
15,531.560347,0.024504,7441.84486,0.343053,0.368232,4.138866,8,8,1,1,0
16,1115.770106,0.010607,15620.781477,0.148501,0.218118,3.423277,8,8,1,1,0
17,557.61378,0.036913,8364.2067,0.553688,0.39289,4.92335,10,10,1,1,0
18,448.609512,0.037543,6280.533163,0.525601,0.297856,4.543355,10,10,1,1,0
19,691.489835,0.00831,11063.837365,0.13296,0.345689,4.263453,6,6,1,1,0
20,456.609533,0.030419,7305.752533,0.486698,0.426209,4.784988,9,9,1,1,0
21,579.541477,0.021758,10431.746593,0.391643,0.473573,5.530491,8,8,1,1,0
22,618.790227,0.017222,8044.272946,0.223883,0.296296,3.115372,7,6,1,1,0
23,629.184415,0.018161,10696.13505,0.308734,0.346885,4.294374,7,7,1,1,0
24,1107.953967,0.014589,16619.309503,0.218834,0.276968,3.610981,8,8,1,1,0
25,654.052244,0.031325,11118.888155,0.532525,0.378506,4.558272,9,9,1,1,0
26,806.715241,0.019378,15327.589574,0.368186,0.412339,5.004458,8,8,1,1,0
27,507.056596,0.036791,8619.96214,0.625452,0.444014,5.660645,9,9,1,1,0
28,557.704937,0.014401,8365.574054,0.216017,0.26429,4.199848,8,8,1,1,0
29,668.762862,0.020447,12037.731513,0.368053,0.372233,5.495675,8,8,1,1,0
30,595.760848,0.023472,9532.173561,0.375558,0.310334,4.752951,8,8,1,1,0
31,927.918238,0.035124,15774.610042,0.597106,0.304972,3.367629,9,8,1,1,0
32,540.870331,0.038874,9735.665957,0.699737,0.567723,5.663213,10,10,1,1,0
33,662.066358,0.03961,11917.194449,0.712982,0.468214,4.886941,10,10,1,1,0
34,513.200346,0.021495,6158.404156,0.257944,0.241159,2.652272,8,8,1,1,0
35,568.953895,0.032286,9103.262324,0.516576,0.515561,4.583451,8,8,1,1,0
36,575.456112,0.012224,8056.385572,0.171142,0.310871,3.78609,7,7,1,1,0
37,731.511003,0.015515,10241.154044,0.217205,0.238659,3.503349,7,7,1,1,0
38,482.981034,0.010661,5795.772411,0.127931,0.261831,4.176075,7,7,1,1,0
39,615.139112,0.034276,10457.364908,0.582696,0.238227,3.619511,9,7,1,1,0
40,690.155127,0.035825,11732.637158,0.609028,0.376934,3.698136,10,9,1,1,0
41,585.837574,0.037565,9959.23875,0.63861,0.375665,5.181597,10,10,1,1,0
42,745.510137,0.023408,11928.162193,0.374527,0.34238,3.529144,8,8,1,1,0
43,545.594318,0.017205,8183.914776,0.258073,0.42083,4.350157,6,6,1,1,0
44,1094.595351,0.027179,17513.525615,0.434869,0.300146,4.265038,8,8,1,1,0
45,584.457455,0.041608,10520.234197,0.748943,0.532202,5.824381,10,10,1,1,0
46,861.641776,0.036632,12062.984864,0.512841,0.239173,3.379516,10,10,1,1,0
47,473.379874,0.040278,7574.077982,0.644445,0.427112,5.320852,10,10,1,1,0
48,1445.712937,0.089005,23131.406986,1.424076,0.411818,3.15015,8,7,1,1,0
49,514.5297,0.029655,8232.475204,0.474479,0.340148,4.856561,8,8,1,1,0
50,553.905944,0.010106,8308.589164,0.151584,0.30662,4.566631,6,6,1,1,0
51,784.972051,0.036803,10989.608715,0.515238,0.306015,2.544847,10,8,1,1,0
52,558.6591,0.03071,9497.204703,0.522064,0.409719,5.15642,9,9,1,1,0
53,731.089838,0.037782,13159.617076,0.680081,0.335816,4.09471,10,10,1,1,0
54,525.508125,0.021152,8408.129995,0.338434,0.329341,4.073635,8,8,1,1,0
55,544.991561,0.019934,8174.87342,0.299006,0.390783,4.348098,8,8,1,1,0
56,476.225672,0.014307,6190.933738,0.185993,0.212525,3.779714,7,7,1,1,0
57,997.321377,0.029696,15957.14203,0.475143,0.257174,3.752895,7,6,1,1,0
58,1031.214297,0.077504,15468.214448,1.16256,0.466325,4.719,10,10,1,1,0
59,697.180102,0.018877,10457.701535,0.283149,0.318299,3.927353,8,8,1,1,0
60,627.229661,0.024739,10035.67457,0.395826,0.308682,4.677461,8,8,1,1,0
61,876.781951,0.021526,12274.947308,0.301364,0.230931,2.993941,9,9,1,1,0
62,587.728901,0.019057,8228.204608,0.266801,0.168823,3.791702,8,8,1,1,0
63,562.806825,0.013631,7879.295549,0.19083,0.296988,3.665891,7,7,1,1,0
64,594.413375,0.032173,8916.20063,0.482602,0.379166,4.498034,8,8,1,1,0
65,990.539904,0.026435,15848.638464,0.422962,0.282683,3.302949,9,8,1,1,0
66,641.846354,0.020246,8985.84896,0.283444,0.310638,3.493745,8,8,1,1,0
67,587.895131,0.014226,7642.636709,0.184933,0.196683,3.947095,8,8,1,1,0
68,756.231651,0.036536,12099.706409,0.584582,0.309507,3.396737,10,9,1,1,0
69,663.779957,0.037169,11948.039218,0.669045,0.394278,4.474386,9,9,1,1,0
70,621.768983,0.032339,9948.303736,0.517423,0.408482,4.298883,9,9,1,1,0
71,951.280521,0.019359,15220.488336,0.309747,0.245772,3.800312,9,9,1,1,0
72,501.130052,0.03004,8519.210881,0.510678,0.512122,5.354262,8,8,1,1,0
73,529.283952,0.025366,9527.111142,0.456586,0.451579,5.403355,7,7,1,1,0
74,664.208229,0.019554,7970.498752,0.234646,0.24548,2.678314,7,7,1,1,0
75,539.318312,0.027627,7011.138059,0.359148,0.207488,3.477287,9,9,1,1,0
76,419.908555,0.014373,5878.719764,0.20122,0.403025,4.61548,7,7,1,1,0
77,528.373954,0.036318,8453.983272,0.58109,0.350841,4.892537,9,9,1,1,0
78,995.781354,0.026763,18919.845721,0.508506,0.379852,4.863426,7,7,1,1,0
79,951.328727,0.029104,16172.588352,0.494771,0.425334,4.328846,8,7,1,1,0
80,694.900043,0.034246,13203.100816,0.650681,0.553983,6.26146,8,8,1,1,0
81,668.225316,0.036961,10691.605062,0.591383,0.322865,3.385104,10,8,1,1,0
82,1179.941638,0.023182,23598.832768,0.463645,0.461926,4.937785,8,8,1,1,0
83,621.689619,0.018782,11190.413148,0.338072,0.357504,5.459833,7,7,1,1,0
84,734.764877,0.014419,13225.767793,0.259546,0.541701,6.075887,7,7,1,1,0
85,860.834239,0.036888,13773.347824,0.590203,0.325599,2.650004,10,9,1,1,0
86,641.82796,0.0318,12194.731238,0.604201,0.529884,5.327347,9,9,1,1,0
87,656.785452,0.029551,10508.567233,0.472821,0.359704,3.888859,9,9,1,1,0
88,426.760162,0.018579,6401.402429,0.278679,0.362002,4.451128,7,7,1,1,0
89,755.171316,0.018612,11327.569741,0.279178,0.271351,3.870697,7,7,1,1,0
90,451.080718,0.031067,6766.210776,0.466008,0.363879,5.125945,9,9,1,1,0
91,620.085886,0.019126,9921.374179,0.306018,0.422709,5.068182,7,7,1,1,0
92,769.13033,0.020494,14613.476267,0.389377,0.532483,5.794973,7,7,1,1,0
93,717.455846,0.031106,10044.381851,0.435479,0.282508,3.626178,9,9,1,1,0
94,714.770203,0.036588,11436.323249,0.585412,0.378264,4.119181,10,9,1,1,0
95,680.643793,0.033837,10890.300687,0.541391,0.352719,3.945624,9,9,1,1,0
96,620.936735,0.022382,10555.924497,0.380501,0.370903,4.657006,8,8,1,1,0
97,1197.264965,0.01792,20353.504413,0.304636,0.302692,4.201985,7,7,1,1,0
98,574.054264,0.022986,8610.813959,0.344797,0.351254,4.525035,8,8,1,1,0
99,1025.350615,0.019806,16405.609838,0.316901,0.300994,3.347257,8,7,1,1,0
100,487.52695,0.032224,7800.431193,0.515579,0.400965,5.594939,9,9,1,1,0
101,502.308457,0.020407,9041.552225,0.367326,0.53798,5.995959,7,7,1,1,0
102,595.783571,0.031307,9532.537142,0.500916,0.392368,4.052644,8,7,1,1,0
103,553.101414,0.022899,10508.92687,0.435083,0.478867,5.437614,8,8,1,1,0
104,540.225657,0.024653,8103.384849,0.369796,0.364261,4.529003,7,7,1,1,0
105,837.899814,0.028474,12568.497217,0.427114,0.292303,3.977719,6,6,1,1,0
